0	0.00%
1	0.00%
2	0.28%
3	0.83%
4	1.59%
5	2.68%
6	4.00%
7	5.60%
8	7.53%
9	9.56%
10	11.75%
11	14.30%
12	16.87%
13	19.42%
14	22.20%
15	25.24%
16	28.34%
17	31.81%
18	34.72%
19	38.05%
20	41.19%
21	44.40%
22	47.70%
23	50.84%
24	54.08%
25	56.63%
26	59.86%
27	62.65%
28	65.67%
29	68.07%
30	70.42%
31	73.03%
32	75.57%
33	77.68%
34	79.71%
35	81.55%
36	83.36%
37	84.98%
38	86.20%
39	87.87%
40	89.25%
41	90.45%
42	91.45%
43	92.62%
44	93.26%
45	94.06%
46	94.93%
47	95.59%
48	95.98%
49	96.60%
